"customer_id";"name";"phone";"email";"address"
1;"John Doe";"9876543260";"john@example.com";"Ahmedabad"
2;"Jane Doe";"8765432179";"jane@example.com";"Ahemdabad"
3;"Rohan Sharma	";"9876548450";"rohan.sharma@email.com
";"Ahemdabad"
4;"Priya Desai	";"9123456789	";"priya.desai@email.com
";"Ahemdabad"
5;"Akash Mehta	";"9988776655	";"akash.mehta@email.com
";"Ahemdabad"
6;"Neha Patel	";"8758964239";"neha.patel@email.com
";"Ahemdabad"
7;"Sameer Kapoor	";"9012345678";"sameer.kapoor@email.com
";"Ahemdabad"
8;"Kavita Nair	";"8899001122";"kavita.nair@email.com
";"Ahemdabad"
9;"Vikram Singh	";"9321456780";"vikram.singh@email.com
";"Ahemdabad"
10;"Alisha Bhatia	";"9008765432";"alisha.bhatia@email.com
";"Ahemdabad"
11;"Rajiv Chauhan	";"9192837465";"rajiv.chauhan@email.com
";"Ahemdabad"
12;"Divya Joshi	";"9887766554";"divya.joshi@email.com
";"Ahemdabad"
